Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
The Alchemist Paperback ,10.35,Books > Literature & Fiction > Literary,Paulo Coelho,62315005,208.0,HarperOne; Anniversary edition ,English,5.3 x 0.5 x 8 inches,4.8 ounces,4.6,0
The Last Jedi,17.39,Books > Literature & Fiction > Genre Fiction,Jason Fry,1524797111,,Del Rey ,English,6.4 x 1.2 x 9.5 inches,1.2 pounds,3.9,1
A Spark of Light,25.1,Books > Literature & Fiction > Genre Fiction,Jodi Picoult,345544986,,Ballantine Books ,English,6.1 x 9.2 inches,1.2 pounds,,2
Pachinko National Book Award Finalist,12.35,Books > Literature & Fiction > Genre Fiction,Min Jin Lee,1455563927,512.0,Grand Central Publishing; Reprint edition ,English,5.2 x 1.3 x 8 inches,12 ounces,4.4,3
The Kremlin Conspiracy Hardcover ,18.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,1496406176,,"Tyndale House Publishers, Inc. ",English,5.8 x 1.7 x 9.1 inches,1.6 pounds,4.8,4
The Nightingale,11.59,Books > Literature & Fiction > Genre Fiction,Kristin Hannah,1250080401,608.0,St. Martin's Griffin; Reprint edition ,English,5.5 x 1.6 x 8.3 inches,1.1 pounds,4.8,5
The Immortalists Hardcover ,17.16,Books > Literature & Fiction > Genre Fiction,Chloe Benjamin,735213186,,G.P. Putnam's Sons; First Edition edition ,English,6.2 x 1.1 x 9.3 inches,15.4 ounces,4.0,6
Milk and Vine,3.59,Books > Humor & Entertainment > Humor,Adam Gasiewski Emily Beck,1973124262,77.0,Independently published ,English,6 x 0.2 x 9 inches,4.2 ounces,3.9,7
Origin,16.77,Books > Literature & Fiction > Action & Adventure,Dan Brown,385514239,,Doubleday; 1st Edition edition ,English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4.2,8
We Were the Lucky Ones,8.97,Books > Literature & Fiction > Genre Fiction,Georgia Hunter,399563091,416.0,Penguin Books; Reprint edition ,English,5.4 x 0.9 x 8.2 inches,11.4 ounces,4.8,9
Fahrenheit 451 Paperback ,9.99,Books > Politics & Social Sciences > Politics & Government,Ray Bradbury,1451673310,249.0,Simon & Schuster; Reissue edition ,English,5.5 x 0.9 x 8.4 inches,6.2 ounces,4.4,10
"Sing, Unburied, Sing",14.79,Books > Literature & Fiction > Genre Fiction,Jesmyn Ward,1501126067,,Scribner; First Edition/First Printing edition ,English,5.5 x 1.2 x 8.4 inches,1 pounds,4.4,11
