Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
Origin,20.35,Books > Literature & Fiction > Action & Adventure,"Brown, Dan",385514239,717,Doubleday; 1st Edition edition ,English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4
We Were the Lucky Ones ,8.97,Books > Literature & Fiction > Genre Fiction,Georgia Hunter,399563091,416,Penguin Books; Reprint edition ,English,5.4 x 0.9 x 8.2 inches,11.4 ounces,4
Fahrenheit 451 Paperback ,9.99,Books > Politics & Social Sciences > Politics & Government,Ray Bradbury,1451673310,256,Simon & Schuster; Reissue edition ,English,5.5 x 0.9 x 8.4 inches,6.2 ounces,4
"Sing, Unburied, Sing ",21.24,Books > Literature & Fiction > Genre Fiction,Jesmyn Ward,1501126067,304,Scribner; First Edition/First Printing edition ,English,5.5 x 1.2 x 8.4 inches,1 pounds,4
Altered Carbon Takeshi Kovacs,12.98,Books > Science Fiction & Fantasy > Science Fiction,"Morgan, Richard K.",345457684,375,Del Rey; 1st edition ,English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4
Artemis,16.63,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Weir, Andy",553448129,305,Crown; F First Edition edition ,English,6.4 x 1.1 x 9.5 inches,1.2 pounds,3
Eleanor Oliphant Is Completely Fine ,18.16,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,336,Pamela Dorman Books; F First Edition edition ,English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4
Everything I Never Told You Paperback ,14.85,Books > Literature & Fiction > Genre Fiction,"Ng, Celeste",143127551,297,Penguin Books; Reprint edition ,English,5.1 x 0.6 x 7.8 inches,8 ounces,4
The Rooster Bar (Hardcover),15.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,385541171,368,Doubleday; 1st Edition edition ,English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3
Lord of the Flies Mass Market Paperback ,8.89,Books > Literature & Fiction > Genre Fiction,William Golding,399501487,224,Penguin Books; Reissue edition ,English,4.2 x 0.6 x 7.6 inches,4 ounces,3
