Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Extinction Horizon,5.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Apocalyptic & Post-Apocalyptic,Nicholas Sansbury Smith,6557994,368.0,Orbit,English,7.50 x 4.25 x 1.00 Inches,,,0
Avenging Home,13.68,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Angery American,996696016,325.0,Lightning Source Inc,English,8.00 x 5.00 x 0.50 Inches,,,1
Death's End,5.15,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,Cixin Liu,765386631,608.0,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 40.77 Inches (US),,,2
Saga 1,32.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Staples, Fiona Vaughan, Brian K.",2150783,504.0,Diamond Comic Distributors,English,8.00 x 10.00 x 1.00 Inches,,5.0,3
ORDINARY GRACE,9.01,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 8601 >  > in > Books > # > 782 >  > in > Books > Literature & Fiction > # > 53 >  > in > Books > Literature & Fiction > Literary",William Kent Krueger,1645855,336.0,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),,5.0,4
IF NOT FOR YOU,7.8,Books > Literature & Fiction > Fiction > Romance > Contemporary,"MACOMBER, DEBBIE",553391984,448.0,Random House,English,7.00 x 4.25 x 1.50 Inches,,,5
"The Cat, the Devil, and Lee Fontana",6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Murphy, Pat J. J. Rousseau, Shirley",2268829,314.0,HarperCollins,English,6.75 x 4.25 x 1.00 Inches,,,6
"LION, THE",9.93,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 26047 >  > in > Books > # > 317 >  > in > Books > Mystery & Suspense > # > 122 >  > in > Books > Mystery & Suspense > Thrillers",Nelson DeMille,6619259,576.0,Grand Central Publishing,English,7.75 x 4.25 x 1.25 Inches (US),,4.0,7
Empire of Silver,4.49,Books > Literature & Fiction > Fiction > Historical,"Iggulden, Conn",7201818,446.0,Harper Collins,,7.81 x 5.01 x 1.26 Inches,,,8
Lover Enshrined ,7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 6411 >  > in > Books > # > 102 >  > in > Books > Romance > # > 16 >  > in > Books > Romance > Paranormal,J.R. Ward,1222720,560.0,BerkleyPenguin Publishing Group,English,6.75 x 4.13 x 1.25 Inches (US),,4.8,9
Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,11.44,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,316318221,312.0,Yen PressYen On,English,,,,10
Neverwhere,12.63,Books > Literature & Fiction > Fiction > Literary,"Gaiman, Neil",62821334,435.0,HarperCollins,English,8.00 x 5.25 x 1.50 Inches,,,11
Star Trek Best Defense,7.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,David Mack,6753108,384.0,Pocket Books/Star Trek,English,6.75 x 104.78 x 25.40 Inches (US),,,12
Norse Mythology,13.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",039360909X,299.0,W W Norton &amp; Co Inc,English,8.50 x 5.75 x 1.25 Inches,,,13
Along Came a Spider (Alex Cross),6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage > Best seller ranking: > # > 4990 >  > in > Books > # > 31 >  > in > Books > Mystery & Suspense > # > 1 >  > in > Books > Mystery & Suspense > Police Procedural",James Patterson,6364196,528.0,Grand Central Pub Mass Market,English,6.75 x 4.00 x 1.00 Inches,,,14
Straken,7.72,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",5499408,432.0,Random House,English,6.95 x 4.20 x 1.05 Inches,,,15
Lemon Tart,17.44,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Josi S. Kilpack,6410509,368.0,Shadow MountainShadow Mountain Publishing,English,8.25 x 139.70 x 1.00 Inches (US),,,16
The Path of Daggers,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Robert Jordan,2550293,704.0,Tom Doherty AssociatesTor Fantasy,English,6.76 x 104.65 x 1.56 Inches (US),,5.0,17
The Terry Pratchett Diary,20.64,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Terry Pratchett,3208336,128.0,Orion Publishing GroupGollancz,,,,,18
The Secret Speech,3.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",Tom Rob Smith,6402414,448.0,Grand Central Publishing,English,8.00 x 5.25 x 1.50 Inches (US),,,19
Armada (Paperback),15.43,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Cline, Ernest",99586746,,Cornerstone,,,,,20
The Mystery of Ireta,6.39,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"McCaffrey, Anne",5467219,480.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,,21
Wicked,6.11,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 2598 >  > in > Books > # > 199 >  > in > Books > Literature & Fiction > # > 33 >  > in > Books > Literature & Fiction > General,"Maguire, Gregory",1350964,538.0,HarperCollins,English,7.00 x 4.00 x 1.25 Inches,,4.6,22
Zombie Survival Transport,16.82,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Alien Contact,Sean T. Page,1785211668,64.0,Haynes Publishing UK,English,,,,23
"""A"" Is for Alibi",14.53,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Sue Grafton,2353814,320.0,St. Martin's PressSt. Martin's Griffin,English,8.16 x 142.49 x 22.35 Inches (US),,,24
Legends and Liars,13.85,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Julia Knight,6375014,400.0,Orbit,English,8.25 x 5.50 x 1.00 Inches (US),,,25
Poison 2 (the Cartel Publications Presents),15.0,Books > Literature & Fiction > Fiction > African American,"Harris, K. D. Harris, Kd",982391307,200.0,Cartel Publications,English,5.50 x 0.60 x 8.40 Inches,,,26
Death Without Company ,11.0,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Craig Johnson,3124817,320.0,Penguin BooksPenguin Publishing Group,English,,,,27
Gone Tomorrow,18.03,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Child, Lee, Shale, Kerry",184657160X,,Cornerstone,,,,,28
Caramel Crush,6.42,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Jenn McKinlay,9583812,304.0,BerkleyPenguin Publishing Group,English,,,,29
Rotten to the Core,7.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 71029 >  > in > Books > # > 976 >  > in > Books > Mystery & Suspense > # > 264 >  > in > Books > Mystery & Suspense > Women Sleuths",Sheila Connolly,5228768,304.0,BerkleyPenguin Publishing Group,English,,,,30
The Lord of the Rings ,60.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 331 >  > in > Books > # > 28 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,851765X,1184.0,Houghton Mifflin Harcourt,English,9.25 x 155.57 x 2.99 Inches (US),,4.9412,31
The Couple Next Door,13.59,Books > Literature & Fiction > Fiction > Psychological,"Lapena, Shari",143284010X,435.0,Christian Large Print,,5.50 x 8.50 x 1.00 Inches,,,32
GRAND OPENING 2,13.72,Books > Literature & Fiction > Fiction > African American,"WEBER, CARL",1622866045,288.0,Kensington Pub Corp,,6.50 x 9.25 x 1.25 Inches,,,33
CANTO BIGHT (STAR WARS),16.01,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"AHMED, SALADIN",152479953X,320.0,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,,,34
Dark Curse,7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 13391 >  > in > Books > # > 327 >  > in > Books > Romance > # > 70 >  > in > Books > Romance > Paranormal,Christine Feehan,514699X,464.0,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.22 Inches (US),,5.0,35
PERSONAL,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","CHILD, LEE",4178753,544.0,Random House,English,7.50 x 4.25 x 1.25 Inches,,,36
Dark Chocolate Demise,7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 62234 >  > in > Books > # > 850 >  > in > Books > Mystery & Suspense > # > 218 >  > in > Books > Mystery & Suspense > Women Sleuths",Jenn McKinlay,5258939,304.0,BerkleyPenguin Publishing Group,English,,,,37
All Tomorrow's Parties,7.03,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Cyberpunk,William Gibson,5190441,352.0,BerkleyPenguin Publishing Group,English,,,,38
The Kremlin Conspiracy,21.61,Books > Summer Reading Books > Beach Reads,Joel C. Rosenberg,1496406176,480.0,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,,,39
Dragons of Autumn Twilight,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, Margaret Hickman, Tracy",6915747,444.0,Wizards of the Coast,English,6.75 x 4.25 x 1.25 Inches,,,40
The High Druid's Blade,7.19,Books > Literature & Fiction > Fiction > Action & Adventure,"Brooks, Terry",5540780,370.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,,41
Is It Wrong to Try to Pick Up Girls in a Dungeon?,13.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,031631479X,288.0,Yen PressYen On,,,,,42
Hellhole Awakening,8.76,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Kevin J. Anderson Brian Herbert,5362596,672.0,Tom Doherty AssociatesTor Science Fiction,English,6.75 x 103.63 x 36.96 Inches (US),,,43
The Rise of Endymion,8.34,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Simmons, Dan",3572983,720.0,Random House,English,6.75 x 4.25 x 1.25 Inches,,,44
The Last Herald-Mage Trilogy,15.05,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Mercedes Lackey,6411387,880.0,DAW,,8.99 x 5.97 x 1.81 Inches (US),,,45
15TH AFFAIR,8.58,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",James Patterson Maxine Paetro,5585287,400.0,Grand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,,46
Star Wars,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Traviss, Karen",5478278,304.0,Random House,English,7.00 x 4.25 x 0.75 Inches,,,47
Sea of Sorrows,7.99,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Moore, James A.",1162709,351.0,Random House,English,7.00 x 4.25 x 1.00 Inches,,,48
NINE DRAGONS,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",Michael Connelly,6561953,480.0,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,3.0,49
